Nombre,Marca,Categorias,Precio Original,Precio Final,Moneda,Estado,Descripcion,Fecha de captura
LALANDE café espresso extra fuerte estuche 20 compostables compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",4.19,3.79,EUR,AVAILABLE,,2020-04-11
GALLINA BLANCA caldo de pollo casero 100% natural envase 1 l,,"Alimentación General,Alimentación general,Caldos, sopas, purés y gazpachos,Caldo de pollo y carne",1.76,1.55,EUR,AVAILABLE,,2020-04-11
GALLINA BLANCA caldo de pollo casero 100% natural  bajo en sal envase 1 l,,"Alimentación General,Alimentación general,Caldos, sopas, purés y gazpachos,Caldo de pollo y carne",1.76,1.55,EUR,AVAILABLE,,2020-04-11
GALLINA BLANCA caldo de pollo casero 100% natural suave envase 1 l,,"Alimentación General,Alimentación general,Caldos, sopas, purés y gazpachos,Caldo de pollo y carne",1.76,1.55,EUR,AVAILABLE,,2020-04-11
GALLINA BLANCA caldo de carne casero 100% natural envase 1 l,,"Alimentación General,Alimentación general,Caldos, sopas, purés y gazpachos,Caldo de pollo y carne",1.76,1.55,EUR,AVAILABLE,,2020-04-11
GALLINA BLANCA caldo de cocido casero 100% natural envase 1 l,,"Alimentación General,Alimentación general,Caldos, sopas, purés y gazpachos,Caldo de pollo y carne",1.76,1.55,EUR,AVAILABLE,,2020-04-11
GALLINA BLANCA caldo de escudella casero 100% natural envase 1 l,,"Alimentación General,Alimentación general,Caldos, sopas, purés y gazpachos,Caldo de pollo y carne",1.79,1.55,EUR,AVAILABLE,,2020-04-11
GALLINA BLANCA caldo de puchero casero 100% natural envase 1 l,,"Alimentación General,Alimentación general,Caldos, sopas, purés y gazpachos,Caldo de pollo y carne",1.80,1.55,EUR,AVAILABLE,,2020-04-11
ESGIR Bio Corn Flakes cereales de desayuno sin gluten y sin azúcares añadidos bolsa 330 g,,"Dietéticos,Dietéticos,Desayunos, dulces y pan,Cereales de desayuno",3.00,3.00,EUR,AVAILABLE,2ª unidad al 40% de descuento,2020-04-11
ESGIR Bio arroz crujiente con cacao ecológico sin gluten y sin lactosa envase 330 g,,"Dietéticos,Dietéticos,Desayunos, dulces y pan,Cereales de desayuno",3.10,3.10,EUR,AVAILABLE,2ª unidad al 40% de descuento,2020-04-11
ESGIR Bio copos de quinoa con panela ecológicos sin gluten y sin lactosa envase 330 g,,"Dietéticos,Dietéticos,Desayunos, dulces y pan,Cereales de desayuno",3.10,3.10,EUR,AVAILABLE,2ª unidad al 40% de descuento,2020-04-11
KELLOGG'S SPECIAL K cereales de desayuno con chocolate con leche sin aceite de palma paquete 300 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cereales y barritas,Cereales para adultos",2.69,2.69,EUR,AVAILABLE,,2020-04-11
KELLOGG'S EXTRA Original cereales de avena tostada en crujientes granolas bolsa 375 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cereales y barritas,Cereales para adultos",2.99,2.99,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
